	date	text	source	likes	shares	year	month	day
63	2022-06-28 18:50:26	RT @mermaidellitsa: Πολύ καλός ο Ορφεας. Μόνο με το βλέμμα του δείχνει την βαθιά, αγνή αγάπη για την Αργυρω. Χωρίς λόγια  #sasmos	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2	2022	6	28
64	2022-06-28 18:50:16	RT @mtsirigotiyahoo: Μαρίνα να σκεφτείς τη ζωή του παιδιού σου ΕΠΙΤΕΛΟΥΣ παραμέρισε τις δεύτερες σκέψεις…ΑΥΤΟ ΠΟΥ ΑΚΟΥΣ ΕΙΝΑΙ Η ΠΟΝΕΜΕΝΗ ΤΟ…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
65	2022-06-28 18:50:16	"""Να είναι με όποιον θέλει η Αργυρώ.. Εγώ και την ζωή μου θα έδινα για να είναι καλά... ""
Σε αυτή την ζωή να είστε Αστέρης, με τα σωστά του, με τα λάθη του, με τα όλα του!
Να έχετε τέτοια ψυχή, που έχει μεν χαρακιές αλλά βγάζουν ΦΩΣ, ΑΓΑΠΗ ΚΑΙ ΔΎΝΑΜΗ! #sasmos  "	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	51	15	2022	6	28
66	2022-06-28 18:50:03	"RT @Deep697: #sasmos
""Το μόνο πράμα που έχει νόημα η ζωή της Αργυρως...""
Τι άλλο να κάνει για να δείξει την αγάπη του...  "	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	3	2022	6	28
67	2022-06-28 18:49:57	@Letitbe51169175 @Pitsifrikoss Το κρεμμύδι είναι άμα θες τον άλλο με πάθος...δεν είναι αγάπη	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2022	6	28
68	2022-06-28 18:49:08	RT @FuckedUpKing: Δεν μπορείς να απαιτήσεις την αγάπη κάποιου που δεν θέλει να στην δώσει απλόχερα....	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	5	2022	6	28
69	2022-06-28 18:48:32	"RT @elenathanou99: {137γ//Ευχαριστώ Ελένη 🧡}

Δέκα χρόνια  πριν η Ελένη Σταμίρη και ο Κωνσταντής Σεβαστός δε φαντάζονταν ποτέ ότι θα έρθει…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7	2022	6	28
70	2022-06-28 18:48:16	"""Να είναι με όποιον θέλει η Αργυρώ, εγώ θα έδινα και την ζωή μου για να είναι καλά"" 
Πόση αγάπη #Sasmos"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	20	5	2022	6	28
71	2022-06-28 18:48:05	RT @marika_teamAA: Γιατί μας καταστρέφετε το νέο τραγούδι με σκηνή #cancelStavros και Αργυρω στο κρεβάτι???ποια ακριβώς η χρησιμότητα της σ…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
72	2022-06-28 18:47:46	RT @paliopaido_egw: @monimaneura Λείπω. Αν είσαι η μοναδική μου αγάπη, άφησέ μου μήνυμα λατρείας 🤣🤣	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
73	2022-06-28 18:47:24	Μαρίνα να σκεφτείς τη ζωή του παιδιού σου ΕΠΙΤΕΛΟΥΣ παραμέρισε τις δεύτερες σκέψεις…ΑΥΤΟ ΠΟΥ ΑΚΟΥΣ ΕΙΝΑΙ Η ΠΟΝΕΜΕΝΗ ΤΟΥ ΨΥΧΗ ΠΟΥ ΟΥΡΛΙΑΖΕΙ ΤΗΝ ΑΓΑΠΗ ΤΟΥ ΓΙΑ ΤΗΝ ΑΡΓΥΡΩ…μην του στρίβεις άλλο το μαχαίρι στην πληγή!Κλαιμε κ Αυγουστίδη με την ερμηνεία σας!#AAmazi  #Sasmos  	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	13	1	2022	6	28
